Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,O3,2023-09-07 10:00 AM,2023,09,07,10,43.0,40,Good,46.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 11:00 AM,2023,09,07,11,57.0,58,Moderate,62.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 12:00 PM,2023,09,07,12,53.0,49,Good,57.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 01:00 PM,2023,09,07,13,27.0,25,Good,27.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 02:00 PM,2023,09,07,14,25.0,23,Good,25.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 03:00 PM,2023,09,07,15,36.0,33,Good,37.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 04:00 PM,2023,09,07,16,36.0,33,Good,-999.0,PPB,1 Hr,Missing
Phora Durbar Kathmandu,O3,2023-09-07 05:00 PM,2023,09,07,17,22.0,20,Good,21.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 06:00 PM,2023,09,07,18,19.0,18,Good,18.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 07:00 PM,2023,09,07,19,15.0,14,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 08:00 PM,2023,09,07,20,15.0,14,Good,13.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 09:00 PM,2023,09,07,21,14.0,13,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 10:00 PM,2023,09,07,22,13.0,12,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-07 11:00 PM,2023,09,07,23,9.0,8,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 12:00 AM,2023,09,08,00,9.0,8,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 01:00 AM,2023,09,08,01,16.0,15,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 02:00 AM,2023,09,08,02,16.0,15,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 03:00 AM,2023,09,08,03,13.0,12,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 04:00 AM,2023,09,08,04,15.0,14,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 05:00 AM,2023,09,08,05,14.0,13,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 06:00 AM,2023,09,08,06,12.0,11,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 07:00 AM,2023,09,08,07,9.0,8,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 08:00 AM,2023,09,08,08,10.0,9,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 09:00 AM,2023,09,08,09,13.0,12,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 10:00 AM,2023,09,08,10,15.0,14,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 11:00 AM,2023,09,08,11,21.0,19,Good,20.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 12:00 PM,2023,09,08,12,29.0,27,Good,29.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 01:00 PM,2023,09,08,13,24.0,22,Good,23.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 02:00 PM,2023,09,08,14,28.0,26,Good,28.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 03:00 PM,2023,09,08,15,28.0,26,Good,27.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 04:00 PM,2023,09,08,16,21.0,19,Good,20.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 05:00 PM,2023,09,08,17,24.0,22,Good,23.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 06:00 PM,2023,09,08,18,17.0,16,Good,15.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 07:00 PM,2023,09,08,19,10.0,9,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 08:00 PM,2023,09,08,20,8.0,7,Good,4.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 09:00 PM,2023,09,08,21,8.0,7,Good,4.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 10:00 PM,2023,09,08,22,8.0,7,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-08 11:00 PM,2023,09,08,23,7.0,6,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 12:00 AM,2023,09,09,00,9.0,8,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 01:00 AM,2023,09,09,01,10.0,9,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 02:00 AM,2023,09,09,02,13.0,12,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 03:00 AM,2023,09,09,03,12.0,11,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 04:00 AM,2023,09,09,04,12.0,11,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 05:00 AM,2023,09,09,05,10.0,9,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 06:00 AM,2023,09,09,06,7.0,6,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 07:00 AM,2023,09,09,07,6.0,6,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 08:00 AM,2023,09,09,08,8.0,7,Good,4.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 09:00 AM,2023,09,09,09,12.0,11,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 10:00 AM,2023,09,09,10,16.0,15,Good,13.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 11:00 AM,2023,09,09,11,18.0,17,Good,15.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 12:00 PM,2023,09,09,12,19.0,18,Good,17.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 01:00 PM,2023,09,09,13,20.0,19,Good,19.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 02:00 PM,2023,09,09,14,22.0,20,Good,20.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 03:00 PM,2023,09,09,15,22.0,20,Good,21.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 04:00 PM,2023,09,09,16,21.0,19,Good,19.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 05:00 PM,2023,09,09,17,20.0,19,Good,18.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 06:00 PM,2023,09,09,18,15.0,14,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 07:00 PM,2023,09,09,19,11.0,10,Good,8.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2023-09-09 08:00 PM,2023,09,09,20,7.0,6,Good,3.0,PPB,1 Hr,Valid
