Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,O3,2020-01-01 02:00 AM,2020,01,01,02,8.0,7,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 03:00 AM,2020,01,01,03,4.0,4,Good,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 04:00 AM,2020,01,01,04,6.0,6,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 05:00 AM,2020,01,01,05,5.0,5,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 06:00 AM,2020,01,01,06,0.0,0,Good,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 07:00 AM,2020,01,01,07,2.0,2,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 08:00 AM,2020,01,01,08,9.0,8,Good,4.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 09:00 AM,2020,01,01,09,12.0,11,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 10:00 AM,2020,01,01,10,15.0,14,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 11:00 AM,2020,01,01,11,20.0,19,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 12:00 PM,2020,01,01,12,26.0,24,Good,27.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 01:00 PM,2020,01,01,13,28.0,26,Good,30.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 02:00 PM,2020,01,01,14,28.0,26,Good,38.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 03:00 PM,2020,01,01,15,26.0,24,Good,35.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 04:00 PM,2020,01,01,16,24.0,22,Good,30.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 05:00 PM,2020,01,01,17,24.0,22,Good,21.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 06:00 PM,2020,01,01,18,18.0,17,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 07:00 PM,2020,01,01,19,14.0,13,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 08:00 PM,2020,01,01,20,10.0,9,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 09:00 PM,2020,01,01,21,3.0,3,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 10:00 PM,2020,01,01,22,3.0,3,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-01 11:00 PM,2020,01,01,23,2.0,2,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 12:00 AM,2020,01,02,00,2.0,2,Good,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 01:00 AM,2020,01,02,01,1.0,1,Good,-2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 02:00 AM,2020,01,02,02,2.0,2,Good,-2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 03:00 AM,2020,01,02,03,1.0,1,Good,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 04:00 AM,2020,01,02,04,0.0,0,Good,-3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 05:00 AM,2020,01,02,05,0.0,0,Good,-2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 06:00 AM,2020,01,02,06,2.0,2,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 07:00 AM,2020,01,02,07,3.0,3,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 08:00 AM,2020,01,02,08,5.0,5,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 09:00 AM,2020,01,02,09,9.0,8,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 10:00 AM,2020,01,02,10,14.0,13,Good,4.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 11:00 AM,2020,01,02,11,17.0,16,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 12:00 PM,2020,01,02,12,21.0,19,Good,27.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 01:00 PM,2020,01,02,13,21.0,19,Good,30.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 02:00 PM,2020,01,02,14,18.0,17,Good,18.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 03:00 PM,2020,01,02,15,13.0,12,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 04:00 PM,2020,01,02,16,14.0,13,Good,16.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 05:00 PM,2020,01,02,17,9.0,8,Good,13.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 06:00 PM,2020,01,02,18,8.0,7,Good,4.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 07:00 PM,2020,01,02,19,8.0,7,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 08:00 PM,2020,01,02,20,9.0,8,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 09:00 PM,2020,01,02,21,5.0,5,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 10:00 PM,2020,01,02,22,2.0,2,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-02 11:00 PM,2020,01,02,23,0.0,0,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 12:00 AM,2020,01,03,00,0.0,0,Good,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 01:00 AM,2020,01,03,01,1.0,1,Good,-3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 02:00 AM,2020,01,03,02,1.0,1,Good,-2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 03:00 AM,2020,01,03,03,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 04:00 AM,2020,01,03,04,-999.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 05:00 AM,2020,01,03,05,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 06:00 AM,2020,01,03,06,0.0,0,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 07:00 AM,2020,01,03,07,1.0,1,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 08:00 AM,2020,01,03,08,2.0,2,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 09:00 AM,2020,01,03,09,5.0,5,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 10:00 AM,2020,01,03,10,8.0,7,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 11:00 AM,2020,01,03,11,8.0,7,Good,-999.0,PPB,1 Hr,Missing
Phora Durbar Kathmandu,O3,2020-01-03 12:00 PM,2020,01,03,12,4.0,4,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 01:00 PM,2020,01,03,13,3.0,3,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 02:00 PM,2020,01,03,14,3.0,3,Good,-999.0,PPB,1 Hr,Missing
Phora Durbar Kathmandu,O3,2020-01-03 03:00 PM,2020,01,03,15,0.0,0,Good,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 04:00 PM,2020,01,03,16,0.0,0,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 05:00 PM,2020,01,03,17,0.0,0,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 06:00 PM,2020,01,03,18,-999.0,-999,N/A,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 07:00 PM,2020,01,03,19,-999.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 08:00 PM,2020,01,03,20,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 09:00 PM,2020,01,03,21,-999.0,-999,N/A,-1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 10:00 PM,2020,01,03,22,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-03 11:00 PM,2020,01,03,23,-999.0,-999,N/A,-3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-04 12:00 AM,2020,01,04,00,-999.0,-999,N/A,-3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-04 01:00 AM,2020,01,04,01,-999.0,-999,N/A,-3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-04 02:00 AM,2020,01,04,02,-999.0,-999,N/A,-3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-04 03:00 AM,2020,01,04,03,-999.0,-999,N/A,-3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2020-01-04 04:00 AM,2020,01,04,04,-999.0,-999,N/A,-2.0,PPB,1 Hr,Valid
