Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,185.5,236,Very Unhealthy,164.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,149.2,199,Unhealthy,113.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,129.1,189,Unhealthy,109.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,135.5,192,Unhealthy,142.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,128.2,189,Unhealthy,121.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,140.6,195,Unhealthy,153.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,173.3,224,Very Unhealthy,206.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,200.1,250,Very Unhealthy,227.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,202.0,252,Very Unhealthy,204.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,173.5,224,Very Unhealthy,145.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,154.7,205,Very Unhealthy,136.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,101.8,175,Unhealthy,49.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,69.9,158,Unhealthy,38.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,76.9,162,Unhealthy,84.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,66.9,157,Unhealthy,57.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,64.9,156,Unhealthy,63.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,85.9,167,Unhealthy,107.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,111.9,180,Unhealthy,138.0,UG/M3,1 Hr,Valid
