Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,134.2,192,Unhealthy,118.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,128.1,188,Unhealthy,122.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,121.0,185,Unhealthy,114.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,102.0,175,Unhealthy,83.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,99.0,173,Unhealthy,96.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,103.0,176,Unhealthy,107.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,124.5,187,Unhealthy,146.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,138.7,194,Unhealthy,153.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,159.3,210,Very Unhealthy,180.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,165.1,215,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,135.5,192,Unhealthy,106.0,UG/M3,1 Hr,Valid
